Country,Country_Code,Region,Income_Group,Year,Internet_Usage_Pct,Household_Internet_Access_Pct,Smartphone_Adoption_Pct,Mobile_Subscriptions_per_100,Fixed_Broadband_per_100,Avg_Fixed_Download_Speed_Mbps,Avg_Mobile_Download_Speed_Mbps,Network_Coverage_4G_Pct,Availability_5G_Pct,Broadband_Monthly_Cost_USD,Mobile_Data_Cost_per_GB_USD,Connectivity_Cost_Pct_Income,Digital_Literacy_Pct,Urbanization_Pct,Population_Millions
France,FRA,Europe & Central Asia,High Income,2024,97.98,,99.0,126.96,53.82,310.16,95.57,99.9,53.59,47.86,1.39,1.21,98.79,75.71,71.05
France,FRA,Europe & Central Asia,High Income,2025,99.5,96.34,99.0,131.21,54.55,329.34,100.79,99.9,64.99,44.71,1.08,1.27,99.19,75.98,71.6
Netherlands,NLD,Europe & Central Asia,High Income,2018,85.41,82.36,92.61,139.14,35.92,95.09,79.13,95.15,0.0,50.61,1.54,1.82,94.69,75.13,17.5
Netherlands,NLD,Europe & Central Asia,High Income,2019,88.75,86.17,95.87,139.84,37.59,103.65,81.6,96.79,0.55,50.86,1.51,1.65,95.04,75.41,17.64
Netherlands,NLD,Europe & Central Asia,High Income,2020,88.09,86.85,97.21,143.07,37.99,105.8,88.74,98.11,11.38,47.23,1.36,1.97,95.03,75.71,17.78
Netherlands,NLD,Europe & Central Asia,High Income,2021,91.96,89.2,97.59,145.76,38.65,116.18,93.32,99.9,21.4,48.8,1.41,1.73,95.32,75.9,17.92
Netherlands,NLD,Europe & Central Asia,High Income,2022,93.05,90.33,99.0,146.91,38.77,124.94,100.74,98.89,33.57,47.14,1.25,1.78,95.54,76.48,18.06
Netherlands,NLD,Europe & Central Asia,High Income,2023,92.95,90.24,99.0,149.58,39.69,130.42,103.16,99.9,44.01,46.12,1.21,1.59,95.64,76.75,18.2
Netherlands,NLD,Europe & Central Asia,High Income,2024,94.8,93.47,99.0,150.89,40.28,135.33,111.14,99.9,52.77,44.55,1.02,1.18,95.93,76.99,18.34
Netherlands,NLD,Europe & Central Asia,High Income,2025,97.64,93.84,99.0,153.38,40.82,145.98,113.63,99.9,66.03,43.8,1.16,1.47,96.09,77.18,18.48
Switzerland,CHE,Europe & Central Asia,High Income,2018,93.52,93.8,89.02,144.59,40.17,148.06,90.57,93.98,0.0,29.12,0.3,1.41,93.12,85.1,8.7
Switzerland,CHE,Europe & Central Asia,High Income,2019,93.87,94.9,88.7,146.8,40.52,164.52,92.16,96.0,2.68,26.34,0.43,1.57,93.31,85.42,8.77
Switzerland,CHE,Europe & Central Asia,High Income,2020,96.53,99.36,91.91,148.34,40.94,172.43,101.39,95.67,10.05,26.6,0.32,1.39,93.24,85.84,8.84
Switzerland,CHE,Europe & Central Asia,High Income,2021,98.95,99.65,92.05,152.24,42.17,184.94,107.49,97.35,17.83,26.9,0.3,1.54,93.75,86.1,8.91
Switzerland,CHE,Europe & Central Asia,High Income,2022,98.67,99.8,94.43,154.17,42.47,200.84,113.48,97.81,32.61,25.94,0.28,1.48,93.8,86.37,8.98
Switzerland,CHE,Europe & Central Asia,High Income,2023,99.5,99.8,97.59,154.5,43.39,208.9,119.2,99.9,44.54,27.11,0.4,1.3,94.19,86.77,9.05
Switzerland,CHE,Europe & Central Asia,High Income,2024,99.5,99.8,97.04,157.27,43.54,222.42,126.07,99.9,56.08,26.48,0.34,1.24,94.5,87.11,9.12
Switzerland,CHE,Europe & Central Asia,High Income,2025,99.5,99.8,99.0,157.23,43.77,230.55,132.85,99.9,63.26,24.77,0.28,1.08,94.63,87.29,9.19
Sweden,SWE,Europe & Central Asia,High Income,2018,97.35,85.4,85.78,145.16,34.01,97.46,75.1,94.59,0.0,56.73,1.89,1.22,98.69,92.98,10.4
Sweden,SWE,Europe & Central Asia,High Income,2019,98.58,86.95,88.48,146.47,35.15,102.61,81.99,95.63,0.13,55.4,1.86,1.51,98.8,93.16,10.48
Sweden,SWE,Europe & Central Asia,High Income,2020,99.5,90.24,88.13,149.26,35.9,108.58,86.12,97.68,9.8,53.79,1.74,1.18,99.1,93.6,10.57
Sweden,SWE,Europe & Central Asia,High Income,2021,99.5,91.65,90.81,152.58,37.08,122.04,91.46,97.14,20.89,54.65,1.63,1.29,99.28,93.68,10.65
Sweden,SWE,Europe & Central Asia,High Income,2022,99.5,92.88,93.46,152.34,36.71,128.63,98.78,99.29,32.68,52.94,1.44,1.44,99.54,93.99,10.73
Sweden,SWE,Europe & Central Asia,High Income,2023,99.5,93.13,94.21,153.74,38.3,134.76,103.27,99.9,46.66,52.46,1.51,1.09,99.9,94.31,10.82
Sweden,SWE,Europe & Central Asia,High Income,2024,99.5,95.48,95.89,153.94,38.62,136.24,107.85,99.9,55.52,50.9,1.46,1.25,99.79,94.68,10.9
Sweden,SWE,Europe & Central Asia,High Income,2025,99.5,97.3,97.06,159.25,38.73,146.01,112.77,99.9,66.62,48.95,1.31,1.05,99.9,94.86,10.98
Norway,NOR,Europe & Central Asia,High Income,2018,82.93,95.73,88.59,146.08,47.62,120.88,59.21,96.17,0.0,39.04,1.82,1.84,90.16,85.25,5.4
Norway,NOR,Europe & Central Asia,High Income,2019,85.46,97.58,89.04,147.82,48.06,134.48,62.39,96.81,0.0,39.13,1.63,1.68,90.15,85.39,5.44
Norway,NOR,Europe & Central Asia,High Income,2020,87.4,99.8,90.78,151.86,49.61,,66.87,97.05,14.41,38.29,1.44,1.46,90.43,85.96,5.49
Norway,NOR,Europe & Central Asia,High Income,2021,87.37,99.36,92.14,153.11,49.83,154.4,72.06,99.9,19.53,38.08,1.46,1.76,90.58,86.21,5.53
Norway,NOR,Europe & Central Asia,High Income,2022,88.31,99.8,94.35,153.98,50.47,164.87,76.76,99.61,32.3,35.96,1.51,1.76,90.88,86.41,5.57
Norway,NOR,Europe & Central Asia,High Income,2023,91.37,99.8,95.45,155.49,50.78,176.5,81.23,99.9,46.71,36.51,1.47,1.34,,86.76,5.62
Norway,NOR,Europe & Central Asia,High Income,2024,92.04,99.8,97.77,159.17,52.16,184.21,85.01,99.9,58.88,34.03,1.5,1.41,91.21,86.99,5.66
Norway,NOR,Europe & Central Asia,High Income,2025,94.48,99.8,99.0,159.9,52.14,194.1,90.7,99.9,62.89,34.11,1.35,1.28,91.39,87.34,5.7
Denmark,DNK,Europe & Central Asia,High Income,2018,88.96,85.38,80.79,127.97,49.16,161.78,97.58,98.22,0.0,37.22,2.13,2.17,92.51,84.87,5.8
Denmark,DNK,Europe & Central Asia,High Income,2019,88.87,,80.16,128.9,49.92,180.05,104.1,98.57,0.0,37.77,2.14,1.72,92.56,85.22,5.85
Denmark,DNK,Europe & Central Asia,High Income,2020,89.31,88.12,82.2,130.79,50.18,189.27,110.81,99.16,11.02,37.88,1.94,1.95,92.97,85.6,5.89
Denmark,DNK,Europe & Central Asia,High Income,2021,92.61,90.83,84.15,131.86,50.04,205.51,117.71,99.9,23.85,35.06,1.85,1.64,92.9,85.85,5.94
Denmark,DNK,Europe & Central Asia,High Income,2022,92.46,92.93,85.77,134.25,51.16,217.87,122.55,99.9,34.43,35.39,1.9,2.0,93.37,86.11,5.99
Denmark,DNK,Europe & Central Asia,High Income,2023,95.63,93.8,87.82,136.27,51.82,232.42,129.72,99.9,48.16,32.56,1.76,1.64,93.54,86.39,6.03
Denmark,DNK,Europe & Central Asia,High Income,2024,96.24,93.75,89.81,137.6,52.72,241.16,138.54,99.9,55.87,31.47,1.6,1.77,93.64,86.64,6.08
Denmark,DNK,Europe & Central Asia,High Income,2025,97.17,97.4,91.47,140.44,52.54,258.1,144.62,99.9,61.53,32.77,1.53,1.59,94.09,87.03,6.12
Finland,FIN,Europe & Central Asia,High Income,2018,85.04,86.55,78.57,141.45,40.25,89.62,74.23,99.52,0.0,32.66,0.59,1.31,99.74,78.24,5.5
Finland,FIN,Europe & Central Asia,High Income,2019,86.69,87.9,78.31,142.84,40.47,,79.05,99.29,2.31,,0.54,1.1,99.9,78.57,5.54
Finland,FIN,Europe & Central Asia,High Income,2020,88.24,90.21,81.65,141.09,41.39,105.2,87.23,99.9,13.93,31.6,0.69,1.21,99.9,78.85,5.59
Finland,FIN,Europe & Central Asia,High Income,2021,89.96,92.21,83.32,146.18,42.15,113.37,91.63,99.9,26.7,29.25,0.56,0.86,99.9,79.19,5.63
Finland,FIN,Europe & Central Asia,High Income,2022,92.84,92.31,86.89,146.01,42.48,119.14,97.64,99.9,33.89,29.79,0.43,0.93,99.9,79.59,5.68
Finland,FIN,Europe & Central Asia,High Income,2023,94.03,93.97,86.07,148.11,42.6,128.16,100.91,99.9,42.81,29.96,0.47,0.97,99.9,79.79,5.72
Finland,FIN,Europe & Central Asia,High Income,2024,93.83,96.76,88.6,149.58,43.79,135.23,104.53,99.9,52.96,30.13,0.42,1.13,99.9,80.1,5.76
Finland,FIN,Europe & Central Asia,High Income,2025,95.75,98.42,91.12,151.32,43.46,141.17,112.68,99.9,65.98,28.18,0.26,0.87,99.9,80.2,5.81
Estonia,EST,Europe & Central Asia,High Income,2018,92.65,94.82,82.19,143.93,37.03,158.7,109.06,96.64,0.0,29.41,1.82,1.06,91.73,73.1,1.3
Estonia,EST,Europe & Central Asia,High Income,2019,94.01,95.3,82.55,146.84,37.5,177.32,115.68,97.94,2.36,27.98,1.76,1.16,91.93,73.33,1.31
Estonia,EST,Europe & Central Asia,High Income,2020,95.94,98.12,85.72,147.39,37.83,189.41,124.12,98.06,9.43,27.95,1.75,1.06,92.3,73.78,1.32
Estonia,EST,Europe & Central Asia,High Income,2021,96.09,99.46,86.95,148.98,39.51,206.66,131.52,99.9,23.83,25.09,1.81,1.03,92.37,74.02,1.33
Estonia,EST,Europe & Central Asia,High Income,2022,96.79,99.57,89.23,152.62,39.89,217.54,134.44,99.9,34.07,25.65,1.58,0.84,92.61,74.27,1.34
Estonia,EST,Europe & Central Asia,High Income,2023,97.77,99.8,89.67,153.39,40.39,236.12,146.82,99.9,44.0,25.5,1.45,0.93,92.82,74.47,1.35
Estonia,EST,Europe & Central Asia,High Income,2024,99.5,99.8,92.32,155.06,41.02,242.45,153.36,99.9,55.51,25.3,1.34,0.99,93.22,74.95,1.36
Estonia,EST,Europe & Central Asia,High Income,2025,99.5,99.8,93.74,158.57,41.29,250.37,159.79,99.9,64.48,24.24,1.33,0.87,93.52,75.17,1.37
Spain,ESP,Europe & Central Asia,High Income,2018,89.15,91.51,77.53,135.14,34.28,173.56,66.02,98.72,0.0,38.61,2.03,0.86,93.29,74.82,47.4
Spain,ESP,Europe & Central Asia,High Income,2019,91.8,94.41,79.45,137.68,35.82,187.78,71.53,99.57,0.0,38.63,2.06,0.9,93.53,75.11,47.78
Spain,ESP,Europe & Central Asia,High Income,2020,93.66,96.07,84.19,138.31,35.39,198.25,76.31,99.9,12.31,35.98,2.07,0.66,93.69,75.46,48.16
Spain,ESP,Europe & Central Asia,High Income,2021,95.62,98.81,82.76,142.52,36.12,215.3,80.21,99.9,17.95,36.87,1.8,0.62,94.05,75.93,48.54
Spain,ESP,Europe & Central Asia,High Income,2022,98.08,99.0,83.2,141.27,37.02,219.64,83.98,99.9,32.64,35.06,1.65,0.62,93.97,76.1,48.92
Spain,ESP,Europe & Central Asia,High Income,2023,97.73,99.8,87.72,143.14,38.33,235.99,88.89,99.9,48.89,34.25,1.52,0.82,94.29,76.42,49.3
Spain,ESP,Europe & Central Asia,High Income,2024,98.68,99.8,87.96,145.47,38.53,251.14,91.07,99.9,55.37,35.02,1.59,0.46,94.56,76.81,49.68
Spain,ESP,Europe & Central Asia,High Income,2025,99.5,99.8,88.96,148.29,39.21,264.65,97.83,99.9,68.19,33.49,1.44,0.69,94.83,76.99,50.05
Italy,ITA,Europe & Central Asia,High Income,2018,98.73,96.44,82.78,141.97,46.9,153.11,96.96,95.93,0.0,28.12,1.92,1.66,96.42,80.83,59.1
Italy,ITA,Europe & Central Asia,High Income,2019,98.64,97.22,82.83,143.59,47.43,168.26,103.83,97.19,0.43,28.69,1.97,1.57,96.64,81.12,59.57
Italy,ITA,Europe & Central Asia,High Income,2020,99.5,99.8,87.84,146.68,47.77,173.21,111.5,97.07,11.47,26.16,1.83,1.66,96.61,81.37,60.05
Italy,ITA,Europe & Central Asia,High Income,2021,99.11,98.83,87.25,146.56,48.22,190.81,118.19,98.5,20.53,27.37,1.78,1.77,96.87,81.88,60.52
Italy,ITA,Europe & Central Asia,High Income,2022,99.5,99.8,89.51,148.98,48.8,202.08,123.8,98.95,33.2,25.11,1.83,1.23,97.04,82.02,60.99
Italy,ITA,Europe & Central Asia,High Income,2023,99.5,99.8,90.52,151.14,49.76,211.51,135.03,99.89,41.38,25.83,1.58,1.5,97.33,82.19,61.46
Italy,ITA,Europe & Central Asia,High Income,2024,99.5,99.8,93.51,153.64,50.06,227.74,139.03,99.9,54.27,24.67,1.44,1.19,97.58,82.63,61.94
Italy,ITA,Europe & Central Asia,High Income,2025,99.5,99.8,93.94,155.64,50.08,237.06,144.9,99.9,62.53,23.36,1.46,1.85,97.53,82.8,62.41
Portugal,PRT,Europe & Central Asia,High Income,2018,85.87,92.41,94.63,151.22,46.31,169.42,58.57,94.8,0.0,58.4,1.42,0.42,91.19,89.13,10.3
Portugal,PRT,Europe & Central Asia,High Income,2019,87.32,94.52,96.18,151.19,46.22,178.12,60.53,95.92,1.71,57.02,1.44,0.3,91.2,89.56,10.38
Portugal,PRT,Europe & Central Asia,High Income,2020,90.52,97.32,99.0,153.56,46.86,,64.95,96.48,9.74,53.59,1.38,0.3,91.25,90.0,10.46
Portugal,PRT,Europe & Central Asia,High Income,2021,89.41,98.23,98.25,154.01,47.93,207.54,69.53,98.55,25.81,53.67,1.32,0.5,91.67,90.12,10.55
Portugal,PRT,Europe & Central Asia,High Income,2022,91.84,99.55,99.0,159.06,47.54,220.62,74.64,99.43,31.39,50.58,1.26,0.48,91.91,90.4,10.63
Portugal,PRT,Europe & Central Asia,High Income,2023,93.9,99.8,99.0,158.5,48.81,236.89,77.75,99.08,42.63,49.38,1.26,0.55,91.95,90.64,10.71
Portugal,PRT,Europe & Central Asia,High Income,2024,95.16,99.8,99.0,160.45,48.59,240.91,81.73,99.9,54.42,49.31,1.18,0.33,92.17,91.11,10.79
Portugal,PRT,Europe & Central Asia,High Income,2025,96.91,99.8,99.0,164.56,50.69,258.86,84.53,99.9,67.98,48.05,1.04,0.46,92.52,91.41,10.88
Ireland,IRL,Europe & Central Asia,High Income,2018,80.62,84.21,88.86,144.06,43.26,111.65,113.85,96.48,0.0,36.11,1.8,1.53,98.37,88.99,5.0
Ireland,IRL,Europe & Central Asia,High Income,2019,83.09,85.52,91.65,144.93,43.79,121.16,122.46,96.68,1.87,34.88,1.76,1.48,98.67,89.38,5.04
Ireland,IRL,Europe & Central Asia,High Income,2020,83.01,86.37,91.64,147.47,43.95,129.4,129.71,97.41,10.47,34.88,1.6,1.18,98.68,89.48,5.08
Ireland,IRL,Europe & Central Asia,High Income,2021,85.67,88.64,93.11,148.33,44.61,137.39,140.15,99.24,21.24,34.61,1.47,1.19,99.19,89.87,5.12
Ireland,IRL,Europe & Central Asia,High Income,2022,87.34,91.52,92.89,149.87,45.45,148.94,146.79,98.55,32.18,33.86,1.5,1.32,99.18,90.29,5.16
Ireland,IRL,Europe & Central Asia,High Income,2023,86.94,91.66,94.99,153.42,46.36,158.11,153.49,99.9,46.19,34.27,1.33,1.42,99.41,90.58,5.2
Ireland,IRL,Europe & Central Asia,High Income,2024,89.7,94.62,96.73,153.82,46.41,164.71,161.4,99.9,57.06,31.17,1.24,1.24,99.47,90.85,5.24
Ireland,IRL,Europe & Central Asia,High Income,2025,89.93,95.15,99.0,154.41,47.11,175.99,168.73,99.9,65.02,30.99,1.26,1.03,99.84,91.24,5.28
Belgium,BEL,Europe & Central Asia,High Income,2018,90.18,83.21,84.69,127.49,34.91,202.98,84.31,98.75,0.0,45.92,1.88,0.92,95.76,84.74,11.6
Belgium,BEL,Europe & Central Asia,High Income,2019,92.76,84.95,86.84,128.97,35.55,218.22,91.09,99.82,0.0,46.07,1.73,1.28,95.97,85.09,11.69
Belgium,BEL,Europe & Central Asia,High Income,2020,94.38,86.3,89.11,127.44,35.93,237.39,97.67,99.9,8.5,44.32,1.55,1.38,96.14,85.32,11.79
Belgium,BEL,Europe & Central Asia,High Income,2021,94.4,87.84,88.74,129.78,37.15,262.89,102.13,99.9,21.03,44.69,1.71,1.12,96.28,85.77,11.88
Belgium,BEL,Europe & Central Asia,High Income,2022,96.07,89.05,90.37,131.15,37.07,275.83,108.01,99.9,33.95,43.15,1.57,0.98,96.61,86.02,11.97
Belgium,BEL,Europe & Central Asia,High Income,2023,97.74,91.44,93.07,135.32,38.41,295.58,115.72,99.9,45.24,43.59,1.43,0.82,96.79,86.24,12.06
Belgium,BEL,Europe & Central Asia,High Income,2024,99.43,92.83,93.96,132.93,38.76,307.79,123.05,99.9,53.92,42.29,1.47,1.0,97.03,86.56,12.16
Belgium,BEL,Europe & Central Asia,High Income,2025,99.5,95.06,95.91,139.52,39.03,323.08,126.55,99.9,64.52,41.53,1.21,1.06,97.14,87.04,12.25
Austria,AUT,Europe & Central Asia,High Income,2018,83.26,94.72,82.08,112.87,42.93,107.35,133.42,99.9,0.0,56.19,0.99,0.64,99.07,83.15,9.0
Austria,AUT,Europe & Central Asia,High Income,2019,84.74,96.67,85.63,115.54,43.86,115.44,144.3,99.9,0.0,54.56,1.08,0.68,99.38,83.5,9.07
Austria,AUT,Europe & Central Asia,High Income,2020,86.31,96.35,86.58,118.12,44.01,125.0,155.7,99.9,12.04,55.24,0.77,0.55,99.68,83.78,9.14
Austria,AUT,Europe & Central Asia,High Income,2021,88.13,96.91,88.15,120.93,44.43,137.86,164.42,99.9,22.69,54.77,0.76,0.49,99.8,83.93,9.22
Austria,AUT,Europe & Central Asia,High Income,2022,90.82,99.76,92.01,120.7,45.45,140.68,172.45,99.9,34.01,52.36,0.78,0.35,99.9,84.37,9.29
Austria,AUT,Europe & Central Asia,High Income,2023,90.43,99.8,91.57,126.39,45.57,150.83,181.11,99.9,43.54,51.34,0.78,0.43,99.9,84.82,9.36
Austria,AUT,Europe & Central Asia,High Income,2024,91.33,99.8,92.94,125.91,46.27,161.24,191.23,99.9,53.65,51.12,0.75,0.35,99.9,84.93,9.43
Austria,AUT,Europe & Central Asia,High Income,2025,95.35,99.8,93.44,128.24,46.78,170.24,200.22,99.9,68.03,48.19,0.8,0.3,99.9,85.36,9.5
Poland,POL,Europe & Central Asia,High Income,2018,96.45,98.09,93.3,127.89,38.58,187.24,77.05,95.12,0.0,45.4,2.0,1.55,95.78,74.4,37.7
Poland,POL,Europe & Central Asia,High Income,2019,99.06,99.62,95.27,127.37,38.1,207.72,84.41,96.5,0.5,44.25,1.96,1.38,95.92,74.92,38.0
Poland,POL,Europe & Central Asia,High Income,2020,99.5,99.8,96.91,128.79,38.86,219.92,88.11,96.94,10.42,42.42,1.88,1.67,96.01,75.13,38.3
Poland,POL,Europe & Central Asia,High Income,2021,99.5,99.8,98.36,131.15,39.42,237.24,94.8,98.1,22.33,42.15,1.87,1.38,96.15,75.33,38.6
Poland,POL,Europe & Central Asia,High Income,2022,99.5,99.8,99.0,133.23,39.71,252.89,101.96,98.7,35.11,40.78,1.69,1.19,96.38,75.84,38.91
Poland,POL,Europe & Central Asia,High Income,2023,99.5,99.8,99.0,135.39,40.19,273.85,104.62,98.99,44.24,39.53,1.8,1.46,96.81,75.97,39.21
Poland,POL,Europe & Central Asia,High Income,2024,99.5,99.8,99.0,137.53,41.33,270.85,111.81,99.9,57.68,39.44,1.57,1.43,96.61,76.29,39.51
Poland,POL,Europe & Central Asia,High Income,2025,99.5,99.8,99.0,139.76,41.99,300.75,114.76,99.9,68.29,38.18,1.42,1.13,97.0,76.57,39.81
